resume_text,career_domain
"python django flask backend api programming","Python Developer"
"python django rest api mysql backend","Python Developer"
"python flask django pandas numpy programming","Python Developer"
"python django sqlalchemy backend development","Python Developer"
"java spring hibernate jdbc mysql programming","Java Developer"
"java spring boot backend development","Java Developer"
"java android kotlin programming","Java Developer"
"java spring boot microservices mysql","Java Developer"
"html css javascript bootstrap website","Web Developer"
"html css javascript react frontend","Web Developer"
"javascript react node html css web development","Web Developer"
"react javascript typescript frontend ui","Web Developer"
"excel sql power bi tableau data visualization","Data Analyst"
"sql excel power bi data analysis","Data Analyst"
"python excel sql tableau business analysis","Data Analyst"
"power bi sql excel statistics dashboard","Data Analyst"
"python pandas numpy matplotlib statistics","Data Scientist"
"python pandas numpy scikit learn machine learning","Data Scientist"
"python statistics machine learning data analysis","Data Scientist"
"python pandas numpy scipy predictive modeling","Data Scientist"
"python machine learning tensorflow keras deep learning","AI ML Engineer"
"python tensorflow keras neural network","AI ML Engineer"
"pytorch tensorflow computer vision machine learning","AI ML Engineer"
"python nlp tensorflow deep learning artificial intelligence","AI ML Engineer"
"aws cloud docker kubernetes linux deployment","Cloud Engineer"
"aws ec2 s3 cloud computing docker","Cloud Engineer"
"azure cloud docker kubernetes devops","Cloud Engineer"
"aws devops terraform kubernetes cloud infrastructure","Cloud Engineer"
"cybersecurity linux networking ethical hacking","Cybersecurity"
"linux network security penetration testing","Cybersecurity"
"python cybersecurity cryptography network security","Cybersecurity"
"ethical hacking linux firewall network security","Cybersecurity"
